Date : 2023-10-17 13:57:21
Directory : c:\xampp\htdocs\inmuebles
Total : 2183 files,  723867 codes, 84903 comments, 116801 blanks, all 925571 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |      1,075 |    446,913 |     82,052 |     77,770 |    606,735 |
| CSS                |        381 |    213,136 |      1,772 |     35,849 |    250,757 |
| XML                |        535 |     47,186 |          0 |        535 |     47,721 |
| SCSS               |         90 |     10,929 |        839 |      1,907 |     13,675 |
| PHP                |         96 |      3,570 |        158 |        689 |      4,417 |
| JSON               |          1 |      1,955 |          0 |          0 |      1,955 |
| JSON with Comments |          3 |         87 |          0 |          3 |         90 |
| SQL                |          1 |         86 |         82 |         43 |        211 |
| Markdown           |          1 |          5 |          0 |          5 |         10 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |      2,183 |    723,867 |     84,903 |    116,801 |    925,571 |
| . (Files)                                                                                                                       |          1 |          4 |         33 |          2 |         39 |
| admin                                                                                                                           |      2,107 |    657,486 |     82,573 |    111,217 |    851,276 |
| admin (Files)                                                                                                                   |          1 |          3 |         28 |          0 |         31 |
| admin\controllers                                                                                                               |         12 |        358 |         11 |        104 |        473 |
| admin\models                                                                                                                    |          2 |        100 |          9 |         37 |        146 |
| admin\views                                                                                                                     |      2,092 |    657,025 |     82,525 |    111,076 |    850,626 |
| admin\views (Files)                                                                                                             |          1 |         15 |          2 |          9 |         26 |
| admin\views\build                                                                                                               |        114 |     11,741 |      1,287 |      2,545 |     15,573 |
| admin\views\build\config                                                                                                        |          3 |         49 |          9 |          6 |         64 |
| admin\views\build\js                                                                                                            |         16 |      2,171 |        365 |        602 |      3,138 |
| admin\views\build\npm                                                                                                           |          6 |        575 |         79 |         36 |        690 |
| admin\views\build\scss                                                                                                          |         89 |      8,946 |        834 |      1,901 |     11,681 |
| admin\views\build\scss (Files)                                                                                                  |         41 |      6,537 |        533 |      1,377 |      8,447 |
| admin\views\build\scss\mixins                                                                                                   |         13 |        662 |         67 |        145 |        874 |
| admin\views\build\scss\pages                                                                                                    |         10 |        551 |         37 |        111 |        699 |
| admin\views\build\scss\parts                                                                                                    |         12 |         97 |         84 |         36 |        217 |
| admin\views\build\scss\plugins                                                                                                  |         13 |      1,099 |        113 |        232 |      1,444 |
| admin\views\dist                                                                                                                |        127 |    154,646 |      7,221 |     30,757 |    192,624 |
| admin\views\dist\css                                                                                                            |         14 |    118,976 |        167 |     24,855 |    143,998 |
| admin\views\dist\css (Files)                                                                                                    |          2 |     43,651 |         31 |      9,342 |     53,024 |
| admin\views\dist\css\alt                                                                                                        |         12 |     75,325 |        136 |     15,513 |     90,974 |
| admin\views\dist\js                                                                                                             |        113 |     35,670 |      7,054 |      5,902 |     48,626 |
| admin\views\dist\js (Files)                                                                                                     |          6 |      2,866 |        355 |        638 |      3,859 |
| admin\views\dist\js\pages                                                                                                       |          3 |        436 |        206 |         45 |        687 |
| admin\views\dist\js\plugins                                                                                                     |        104 |     32,368 |      6,493 |      5,219 |     44,080 |
| admin\views\dist\js\plugins\summernote-0.8.18-dist                                                                              |        104 |     32,368 |      6,493 |      5,219 |     44,080 |
| admin\views\dist\js\plugins\summernote-0.8.18-dist (Files)                                                                      |         12 |     21,264 |      5,090 |      4,944 |     31,298 |
| admin\views\dist\js\plugins\summernote-0.8.18-dist\lang                                                                         |         88 |     10,571 |      1,331 |        176 |     12,078 |
| admin\views\dist\js\plugins\summernote-0.8.18-dist\plugin                                                                       |          4 |        533 |         72 |         99 |        704 |
| admin\views\dist\js\plugins\summernote-0.8.18-dist\plugin\databasic                                                             |          2 |        233 |         25 |         51 |        309 |
| admin\views\dist\js\plugins\summernote-0.8.18-dist\plugin\hello                                                                 |          1 |         52 |         23 |          8 |         83 |
| admin\views\dist\js\plugins\summernote-0.8.18-dist\plugin\specialchars                                                          |          1 |        248 |         24 |         40 |        312 |
| admin\views\modules                                                                                                             |         22 |        261 |          9 |        126 |        396 |
| admin\views\partials                                                                                                            |         17 |      1,230 |          0 |        125 |      1,355 |
| admin\views\plugins                                                                                                             |      1,811 |    489,132 |     74,006 |     77,514 |    640,652 |
| admin\views\plugins\bootstrap                                                                                                   |          4 |      7,782 |      1,506 |      2,057 |     11,345 |
| admin\views\plugins\bootstrap-colorpicker                                                                                       |          4 |      4,030 |      1,436 |      1,239 |      6,705 |
| admin\views\plugins\bootstrap-colorpicker\css                                                                                   |          2 |        321 |         35 |         55 |        411 |
| admin\views\plugins\bootstrap-colorpicker\js                                                                                    |          2 |      3,709 |      1,401 |      1,184 |      6,294 |
| admin\views\plugins\bootstrap-slider                                                                                            |          4 |      1,924 |        298 |        306 |      2,528 |
| admin\views\plugins\bootstrap-slider (Files)                                                                                    |          2 |      1,600 |        215 |        252 |      2,067 |
| admin\views\plugins\bootstrap-slider\css                                                                                        |          2 |        324 |         83 |         54 |        461 |
| admin\views\plugins\bootstrap-switch                                                                                            |          6 |      1,410 |         55 |         50 |      1,515 |
| admin\views\plugins\bootstrap-switch\css                                                                                        |          4 |        674 |         39 |          6 |        719 |
| admin\views\plugins\bootstrap-switch\css\bootstrap2                                                                             |          2 |        495 |         23 |          3 |        521 |
| admin\views\plugins\bootstrap-switch\css\bootstrap3                                                                             |          2 |        179 |         16 |          3 |        198 |
| admin\views\plugins\bootstrap-switch\js                                                                                         |          2 |        736 |         16 |         44 |        796 |
| admin\views\plugins\bootstrap4-duallistbox                                                                                      |          4 |        852 |         55 |         86 |        993 |
| admin\views\plugins\bootstrap\js                                                                                                |          4 |      7,782 |      1,506 |      2,057 |     11,345 |
| admin\views\plugins\bs-custom-file-input                                                                                        |          2 |        131 |         12 |         33 |        176 |
| admin\views\plugins\bs-stepper                                                                                                  |          4 |        497 |         25 |        115 |        637 |
| admin\views\plugins\bs-stepper\css                                                                                              |          2 |        162 |         11 |         27 |        200 |
| admin\views\plugins\bs-stepper\js                                                                                               |          2 |        335 |         14 |         88 |        437 |
| admin\views\plugins\chart.js                                                                                                    |          6 |     26,560 |      4,930 |      5,525 |     37,015 |
| admin\views\plugins\codemirror                                                                                                  |        262 |     50,669 |      5,746 |      6,029 |     62,444 |
| admin\views\plugins\codemirror (Files)                                                                                          |          2 |      8,142 |      1,044 |      1,009 |     10,195 |
| admin\views\plugins\codemirror\addon                                                                                            |         68 |      8,181 |        658 |      1,039 |      9,878 |
| admin\views\plugins\codemirror\addon\comment                                                                                    |          2 |        280 |         19 |         28 |        327 |
| admin\views\plugins\codemirror\addon\dialog                                                                                     |          2 |        159 |         11 |         27 |        197 |
| admin\views\plugins\codemirror\addon\display                                                                                    |          6 |        310 |         12 |         40 |        362 |
| admin\views\plugins\codemirror\addon\edit                                                                                       |          6 |        602 |         67 |         77 |        746 |
| admin\views\plugins\codemirror\addon\fold                                                                                       |          8 |        698 |         26 |         85 |        809 |
| admin\views\plugins\codemirror\addon\hint                                                                                       |          8 |      1,237 |        243 |        149 |      1,629 |
| admin\views\plugins\codemirror\addon\lint                                                                                       |          8 |        544 |         41 |         85 |        670 |
| admin\views\plugins\codemirror\addon\merge                                                                                      |          2 |        990 |         26 |        114 |      1,130 |
| admin\views\plugins\codemirror\addon\mode                                                                                       |          5 |        477 |         22 |         63 |        562 |
| admin\views\plugins\codemirror\addon\runmode                                                                                    |          4 |        641 |         64 |         78 |        783 |
| admin\views\plugins\codemirror\addon\scroll                                                                                     |          4 |        340 |          6 |         52 |        398 |
| admin\views\plugins\codemirror\addon\search                                                                                     |          6 |        789 |         47 |         92 |        928 |
| admin\views\plugins\codemirror\addon\selection                                                                                  |          3 |        250 |         11 |         31 |        292 |
| admin\views\plugins\codemirror\addon\tern                                                                                       |          3 |        721 |         58 |        105 |        884 |
| admin\views\plugins\codemirror\addon\wrap                                                                                       |          1 |        143 |          5 |         13 |        161 |
| admin\views\plugins\codemirror\keymap                                                                                           |          3 |      5,936 |        715 |        351 |      7,002 |
| admin\views\plugins\codemirror\mode                                                                                             |        124 |     25,901 |      2,882 |      3,087 |     31,870 |
| admin\views\plugins\codemirror\mode (Files)                                                                                     |          1 |        212 |          3 |          7 |        222 |
| admin\views\plugins\codemirror\mode\apl                                                                                         |          1 |        166 |          2 |          7 |        175 |
| admin\views\plugins\codemirror\mode\asciiarmor                                                                                  |          1 |         68 |          2 |          5 |         75 |
| admin\views\plugins\codemirror\mode\asn.1                                                                                       |          1 |        186 |          4 |         15 |        205 |
| admin\views\plugins\codemirror\mode\asterisk                                                                                    |          1 |        185 |         25 |         11 |        221 |
| admin\views\plugins\codemirror\mode\brainfuck                                                                                   |          1 |         67 |         16 |          3 |         86 |
| admin\views\plugins\codemirror\mode\clike                                                                                       |          1 |        711 |        176 |         49 |        936 |
| admin\views\plugins\codemirror\mode\clojure                                                                                     |          1 |        254 |          6 |         33 |        293 |
| admin\views\plugins\codemirror\mode\cmake                                                                                       |          1 |         80 |         10 |          8 |         98 |
| admin\views\plugins\codemirror\mode\cobol                                                                                       |          1 |        240 |         10 |          6 |        256 |
| admin\views\plugins\codemirror\mode\coffeescript                                                                                |          1 |        291 |         25 |         44 |        360 |
| admin\views\plugins\codemirror\mode\commonlisp                                                                                  |          1 |        109 |          2 |         15 |        126 |
| admin\views\plugins\codemirror\mode\crystal                                                                                     |          1 |        347 |         20 |         67 |        434 |
| admin\views\plugins\codemirror\mode\css                                                                                         |          1 |        800 |          8 |         59 |        867 |
| admin\views\plugins\codemirror\mode\cypher                                                                                      |          1 |        140 |          4 |          8 |        152 |
| admin\views\plugins\codemirror\mode\d                                                                                           |          1 |        202 |          3 |         19 |        224 |
| admin\views\plugins\codemirror\mode\dart                                                                                        |          1 |        142 |          8 |         17 |        167 |
| admin\views\plugins\codemirror\mode\diff                                                                                        |          1 |         35 |          2 |         11 |         48 |
| admin\views\plugins\codemirror\mode\django                                                                                      |          1 |        266 |         45 |         46 |        357 |
| admin\views\plugins\codemirror\mode\dockerfile                                                                                  |          1 |        193 |         10 |          9 |        212 |
| admin\views\plugins\codemirror\mode\dtd                                                                                         |          1 |        116 |          9 |         18 |        143 |
| admin\views\plugins\codemirror\mode\dylan                                                                                       |          1 |        276 |         44 |         33 |        353 |
